MAL_ID,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
1,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",Cowboy Bebop,カウボーイビバップ,TV,26,"Apr 3, 1998 to Apr 24, 1999",Spring 1998,Bandai Visual,"Funimation, Bandai Entertainment",Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),28.0,39,1251960,61971,105808,718161,71513,26678,329800,229170.0,182126.0,131625.0,62330.0,20688.0,8904.0,3184.0,1357.0,741.0,1580.0
6,Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",Trigun,トライガン,TV,26,"Apr 1, 1998 to Sep 30, 1998",Spring 1998,Victor Entertainment,"Funimation, Geneon Entertainment USA",Madhouse,Manga,24 min. per ep.,PG-13 - Teens 13 or older,266.0,201,558913,12944,29113,343492,25465,13925,146918,50229.0,75651.0,86142.0,49432.0,15376.0,5838.0,1965.0,664.0,316.0,533.0
7,Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",Witch Hunter Robin,Witch Hunter ROBIN (ウイッチハンターロビン),TV,26,"Jul 2, 2002 to Dec 24, 2002",Summer 2002,"TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment","Funimation, Bandai Entertainment",Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,2481.0,1467,94683,587,4300,46165,5121,5378,33719,2182.0,4806.0,10128.0,11618.0,5709.0,2920.0,1083.0,353.0,164.0,131.0
16,Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",Honey and Clover,ハチミツとクローバー,TV,24,"Apr 15, 2005 to Sep 27, 2005",Spring 2005,"Genco, Fuji TV, Shueisha","VIZ Media, Discotek Media",J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,468.0,687,214499,4101,11909,81145,11901,11026,98518,11829.0,16309.0,20008.0,13062.0,5574.0,3148.0,1339.0,484.0,278.0,321.0
19,Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",Monster,モンスター,TV,74,"Apr 7, 2004 to Sep 28, 2005",Spring 2004,"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",VIZ Media,Madhouse,Manga,24 min. per ep.,R+ - Mild Nudity,30.0,169,614100,29436,64648,214491,47488,23008,264465,77350.0,60652.0,43459.0,22045.0,8861.0,4381.0,2086.0,882.0,593.0,1177.0
20,Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",Naruto,ナルト,TV,220,"Oct 3, 2002 to Feb 8, 2007",Fall 2002,"TV Tokyo, Aniplex, Shueisha",VIZ Media,Studio Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older,660.0,8,1830540,65586,137167,1462223,61734,99806,69610,216866.0,234481.0,345563.0,286175.0,108155.0,46886.0,15477.0,6098.0,3582.0,5310.0
22,Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",The Prince of Tennis,テニスの王子様,TV,178,"Oct 10, 2001 to Mar 23, 2005",Fall 2001,"Production I.G, Nihon Ad Systems",VIZ Media,Trans Arts,Manga,22 min. per ep.,PG-13 - Teens 13 or older,675.0,1039,141832,3124,11235,76881,12905,12516,28295,9576.0,12719.0,19791.0,16284.0,6624.0,3086.0,1071.0,443.0,210.0,225.0
24,School Rumble,7.94,"Comedy, Romance, School, Shounen",School Rumble,スクールランブル,TV,26,"Oct 5, 2004 to Mar 29, 2005",Fall 2004,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Funimation,Studio Comet,Manga,23 min. per ep.,PG-13 - Teens 13 or older,625.0,514,275464,5137,12277,157789,12856,13491,79051,17907.0,27623.0,38112.0,27327.0,11034.0,5396.0,1897.0,780.0,441.0,405.0
25,Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",Desert Punk,砂ぼうず,TV,24,"Oct 6, 2004 to Mar 30, 2005",Fall 2004,"GDH, Pony Canyon, CBC",Funimation,Gonzo,Manga,24 min. per ep.,R - 17+ (violence & profanity),1844.0,1284,111734,790,6273,53819,6255,7951,37436,3589.0,6664.0,12349.0,12702.0,6033.0,3079.0,1521.0,643.0,350.0,297.0
26,Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",Texhnolyze,TEXHNOLYZE,TV,22,"Apr 17, 2003 to Sep 25, 2003",Spring 2003,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Original,23 min. per ep.,R+ - Mild Nudity,896.0,823,182599,3671,11335,47532,9815,8112,105805,6856.0,8309.0,10851.0,8636.0,4429.0,2462.0,1456.0,684.0,411.0,664.0
